2 행: TygemButton의 ToolboxBitmap 속성을 설정할 수 없습니다.
50 행: imgCenter의 Picture 속성을 설정할 수 없습니다.
60 행: imgRight의 Picture 속성을 설정할 수 없습니다.
70 행: imgBottomRight의 Picture 속성을 설정할 수 없습니다.
79 행: imgBottom의 Picture 속성을 설정할 수 없습니다.
89 행: imgBottomLeft의 Picture 속성을 설정할 수 없습니다.
98 행: imgLeft의 Picture 속성을 설정할 수 없습니다.
108 행: imgTopRight의 Picture 속성을 설정할 수 없습니다.
117 행: imgTop의 Picture 속성을 설정할 수 없습니다.
127 행: imgTopLeft의 Picture 속성을 설정할 수 없습니다.
136 행: imgTopLeft의 Picture 속성을 설정할 수 없습니다.
145 행: imgTop의 Picture 속성을 설정할 수 없습니다.
155 행: imgTopRight의 Picture 속성을 설정할 수 없습니다.
164 행: imgLeft의 Picture 속성을 설정할 수 없습니다.
174 행: imgBottomLeft의 Picture 속성을 설정할 수 없습니다.
183 행: imgBottom의 Picture 속성을 설정할 수 없습니다.
193 행: imgBottomRight의 Picture 속성을 설정할 수 없습니다.
202 행: imgRight의 Picture 속성을 설정할 수 없습니다.
212 행: imgCenter의 Picture 속성을 설정할 수 없습니다.
222 행: imgCenter의 Picture 속성을 설정할 수 없습니다.
231 행: imgRight의 Picture 속성을 설정할 수 없습니다.
240 행: imgBottomRight의 Picture 속성을 설정할 수 없습니다.
248 행: imgBottom의 Picture 속성을 설정할 수 없습니다.
257 행: imgBottomLeft의 Picture 속성을 설정할 수 없습니다.
265 행: imgLeft의 Picture 속성을 설정할 수 없습니다.
274 행: imgTopRight의 Picture 속성을 설정할 수 없습니다.
282 행: imgTop의 Picture 속성을 설정할 수 없습니다.
291 행: imgTopLeft의 Picture 속성을 설정할 수 없습니다.
